TS --> 11_October_2019_18_43_19, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_43_20, Endpoint --> /exam/fetchAllExams, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_43_20, Endpoint --> /exam/fetchAllExams, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_18_43_22, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_43_22, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_43_24, Endpoint --> /result/deleteResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_43_24, Endpoint --> /result/deleteResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_43_24, Endpoint --> /question/fetchQuestions/JS001, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_43_24, Endpoint --> /question/fetchQuestions/JS001, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_18_44_20, Endpoint --> /result/submit, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_44_20, Endpoint --> /result/submit, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_44_20, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_44_20, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
